date,vote,amount
22/05/2022,train,3000
27/05/2022,train,1000
29/05/2022,train,3000
06/10/2022,train,1000
19/06/2022,train,1000
26/06/2022,train,1000
11/07/2022,train,3000
15/07/2022,train,1000
18/07/2022,train,1000
29/07/2022,train,1000
06/08/2022,train,3000
10/08/2022,train,1000
19/08/2022,train,1000
21/08/2022,train,3000
26/08/2022,train,1000
29/08/2022,train,1000
09/09/2022,train,1000
11/09/2022,train,3000
16/09/2022,train,3000
18/09/2022,train,3000
14/10/2022,train,1000
16/10/2022,train,3000
21/10/2022,train,1000
23/10/2022,train,1000
28/10/2022,train,1000
31/10/2022,train,1000
04/11/2022,train,1000
07/11/2022,train,1000
11/11/2022,train,1000
18/11/2022,train,3000
27/11/2022,train,3000
13/12/2022,train,3000
17/12/2022,train,1000
05/01/2023,train,790
05/01/2023,train,710
05/01/2023,train,500
06/01/2023,train,3000
08/01/2023,train,1000
